     save_loss_c   save_loss_r     save_loss
0       2.498396  2.122571e+04  1.061410e+04
1       0.004658  8.111815e+11  4.055907e+11
2       2.261186  3.509202e+12  1.754601e+12
3       0.008872  3.755948e+13  1.877974e+13
4       0.049858  3.148639e+13  1.574320e+13
5       0.008389  5.828571e+13  2.914285e+13
6       0.003448  8.990988e+12  4.495494e+12
7       0.021667  4.403804e+13  2.201902e+13
8       0.008259  6.403013e+13  3.201506e+13
9       0.003213  5.431675e+13  2.715838e+13
10      2.459588  2.297871e+12  1.148935e+12
11      0.054407  2.458343e+13  1.229171e+13
12      0.007691  5.232306e+13  2.616153e+13
13      0.005063  4.980629e+13  2.490314e+13
14      0.002437  2.031271e+13  1.015635e+13
15      1.386395  2.797601e+12  1.398800e+12
16      0.083721  1.848968e+13  9.244842e+12
17      0.009308  2.276162e+13  1.138081e+13
18      0.007692  1.643540e+13  8.217699e+12
19      1.386343  3.273249e+12  1.636625e+12
20      1.386295  3.183034e+12  1.591517e+12
21      0.630878  6.912423e+12  3.456211e+12
22      1.386625  6.313025e+12  3.156512e+12
23      1.386294  1.776700e+12  8.883498e+11
24      1.386294  7.171392e+12  3.585696e+12
25      1.617920  5.734186e+12  2.867093e+12
26      1.386294  1.964074e+12  9.820368e+11
27      0.415034  7.109970e+12  3.554985e+12
28      1.386294  6.440651e+12  3.220325e+12
29      1.386294  1.327679e+12  6.638393e+11
30      0.446765  6.582797e+12  3.291398e+12
31      1.386294  6.157137e+12  3.078569e+12
32      1.386294  1.239674e+12  6.198369e+11
33      0.687257  6.253970e+12  3.126985e+12
34      1.386295  5.573011e+12  2.786505e+12
35      1.386296  1.655211e+12  8.276054e+11
36      0.155618  6.684498e+12  3.342249e+12
37      1.386299  3.697007e+12  1.848504e+12
38      1.386396  2.097542e+12  1.048771e+12
39      0.687788  5.439765e+12  2.719882e+12
40      1.386631  3.008119e+12  1.504060e+12
41      1.386909  3.171633e+12  1.585816e+12
42      0.125943  5.897328e+12  2.948664e+12
43      1.387062  1.327502e+12  6.637510e+11
44      1.387218  4.963708e+12  2.481854e+12
45      1.448567  3.880182e+12  1.940091e+12
46      1.386510  1.921715e+12  9.608576e+11
47      1.386437  5.822653e+12  2.911326e+12
48      1.386944  1.496118e+12  7.480590e+11
