    save_loss_c   save_loss_r     save_loss
0      2.483052  21149.593750  10576.038086
1     27.254025     69.912651     48.583336
2     27.254026     69.901947     48.577988
3     27.254025     69.983124     48.618576
4     27.254025     69.801941     48.527985
5     27.254025     70.001167     48.627594
6     27.254028     70.148422     48.701225
7     27.254025     70.115089     48.684555
8     27.254026     70.072205     48.663116
9     27.254026     70.179459     48.716743
10    27.254025     70.210068     48.732048
11    27.254026     70.249214     48.751621
12    27.254025     69.951721     48.602875
13    27.254026     69.934906     48.594467
14    27.254028     69.819786     48.536907
15    27.254026     69.918922     48.586475
16    27.254026     69.647568     48.450798
17    29.822573     70.136002     49.979286
18    27.254025     70.521896     48.887962
19    27.254026     70.541595     48.897812
20    27.254025     70.479935     48.866982
21    27.258110     70.378502     48.818306
22    27.258110     70.765823     49.011967
23    27.258110     70.804932     49.031521
24    27.258110     70.822876     49.040493
25    27.254028     70.770889     49.012459
26    27.254026     70.700974     48.977501
27    27.254028     70.610229     48.932129
28    27.254025     70.681618     48.967819
29    27.254025     70.983353     49.118690
30    27.254025     70.703156     48.978592
31    27.254028     70.692924     48.973476
32    27.254026     70.859680     49.056854
33    27.254025     70.721802     48.987915
34    27.254025     70.896538     49.075279
35    27.254025     70.870148     49.062088
36    27.254025     71.058601     49.156311
37    27.254026     71.150330     49.202179
38    27.254028     71.234268     49.244148
39    27.254026     71.289017     49.271523
40    27.254026     71.180191     49.217110
41    27.254025     71.229401     49.241714
42    27.254025     70.725815     48.989922
43    27.254025     70.347916     48.800972
44    27.254026     70.447166     48.850597
45    27.254025     70.401695     48.827858
46    27.254025     69.812729     48.533379
47    27.254028     69.571709     48.412868
48    27.254026     69.824631     48.539330
49    27.254026     69.928917     48.591473
50    27.254025     69.950233     48.602127
51    27.254028     69.963043     48.608536
52    27.254025     70.014801     48.634415
53    27.254028     70.059959     48.656994
54    27.254025     69.931015     48.592522
55    27.254025     69.915039     48.584534
56    27.254025     69.938591     48.596306
57    27.254025     69.968643     48.611336
58    27.254026     69.989044     48.621536
59    27.254026     70.030785     48.642406
60    27.254025     70.006546     48.630287
61    27.254025     70.030640     48.642334
62    27.254025     70.005692     48.629860
63    27.254025     69.887360     48.570694
64    27.254026     69.858139     48.556084
65    27.254025     69.843376     48.548698
66    27.254028     69.824150     48.539089
67    27.254026     69.896355     48.575191
68    27.254025     69.929321     48.591675
69    27.254025     69.917015     48.585518
70    27.254026     69.863037     48.558533
71    27.254025     69.893890     48.573959
72    27.254025     69.927330     48.590675
73    27.254026     69.879822     48.566925
74    27.254028     69.826614     48.540321
75    27.254025     69.896606     48.575317
76    27.254025     69.911377     48.582703
77    27.254026     69.926605     48.590317
78    27.254025     69.926605     48.590317
79    27.254028     69.926605     48.590317
80    27.254026     69.926605     48.590317
81    27.254025     69.926605     48.590317
82    27.254028     69.926605     48.590317
83    27.254026     69.926605     48.590317
84    27.254025     69.926605     48.590317
85    27.254028     69.926605     48.590317
86    27.254026     69.926605     48.590317
87    27.254028     69.926605     48.590317
88    27.254025     69.926605     48.590317
89    27.254026     69.926605     48.590317
90    27.254028     69.926605     48.590317
91    27.254026     69.926605     48.590317
92    27.254026     69.926605     48.590317
93    27.254026     69.926605     48.590317
94    27.254026     69.926605     48.590317
95    27.254025     69.926605     48.590317
96    27.254026     69.926605     48.590317
97    27.254026     69.926605     48.590317
98    27.254028     69.926605     48.590317
99    27.254026     69.926605     48.590317
